county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Barnstable County,25001,Massachusetts,212990,22,"Middlesex, MA - Suffolk (Boston), MA",3885304,4.4,14.1,344.62,High,2022-05-19T07:00:00Z
Clarion County,42031,Pennsylvania,38438,52,"Venango, PA - Clarion, PA",96353,1.2,2.1,26.02,Low,2022-03-24T07:00:00Z
Camden County,37029,North Carolina,10867,264,"Pasquotank, NC - Dare, NC",101163,3.4,7.9,276.07,Medium,2022-03-03T07:00:00Z
Somerset County,23025,Maine,50484,38,"Kennebec, ME - Somerset, ME",212501,6,8.5,253.55,Medium,2022-05-12T07:00:00Z
Gilmer County,54021,West Virginia,7823,92,"Harrison, WV - Upshur, WV",137567,6.1,12.4,204.53,High,2022-06-23T07:00:00Z
Dodge County,55027,Wisconsin,87839,306,"Winnebago (Oshkosh), WI - Fond du Lac, WI",406505,3.1,4.4,159.38,Low,2022-05-12T07:00:00Z
Mercer County,17131,Illinois,15437,307,"Rock Island (Moline), IL - Henry, IL",211571,1.8,2.8,110.13,Low,2022-06-09T07:00:00Z
Sevier County,47155,Tennessee,98250,147,"Knox (Knoxville), TN - Blount, TN",888452,13.2,15.1,324.68,High,2022-02-24T07:00:00Z
Pike County,21195,Kentucky,57876,13,"Pike, KY - Logan, WV",113319,3.3,20.3,152.05,High,2022-06-09T07:00:00Z
Houston County,01069,Alabama,105882,162,"Houston (Dothan), AL - Dale, AL",277857,1.2,2.2,18.89,Low,2022-04-07T07:00:00Z
Jefferson County,53031,Washington,32221,785,"Clallam, WA - Jefferson, WA",109552,2.2,7.3,58.97,Low,2022-04-14T07:00:00Z
Redwood County,27127,Minnesota,15170,602,"Brown, MN - Renville, MN",54726,5.7,5.5,184.57,Low,2022-03-03T07:00:00Z
Belmont County,39013,Ohio,67006,24,"Belmont, OH - Ohio (Wheeling), WV",176258,7.6,18.7,147.75,Medium,2022-02-24T07:00:00Z
Daggett County,49009,Utah,950,799,"Sweetwater, WY - Daggett, UT",43293,0,0,0,Low,2022-04-07T07:00:00Z
Freestone County,48161,Texas,19717,489,"Navarro, TX - Freestone, TX",69830,0,1.4,60.86,Low,2022-04-28T07:00:00Z
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,28.47,Low,2022-03-10T07:00:00Z
Jersey County,17083,Illinois,21773,299,"Madison (Alton), IL - Jersey, IL",305904,1.4,2,87.26,Low,2022-05-05T07:00:00Z
Cabell County,54011,West Virginia,91945,46,"Cabell (Huntington), WV - Lawrence, OH",346344,4,12.7,194.68,Medium,2022-05-19T07:00:00Z
Clark County,32003,Nevada,2266715,707,"Clark (Las Vegas), NV - Washington, UT",2511266,3.7,8.6,112.85,Low,2022-08-11T07:00:00Z
Monroe County,55081,Wisconsin,46253,290,"La Crosse (La Crosse), WI - Monroe, WI",257027,3.8,9.3,77.83,Low,2022-03-03T07:00:00Z
Treasure County,30103,Montana,696,691,"Yellowstone (Billings), MT - Big Horn, MT",210073,2.9,22.4,0.0,High,2022-08-25T07:00:00Z
Obion County,47131,Tennessee,30069,181,"Weakley, TN - Obion, TN",69366,0.1,1.4,0,Low,2022-04-14T07:00:00Z
Las Piedras Muni,72085,Puerto Rico,37007,904,Puerto Rico,3193694,3.5,6.6,375.6,Medium,2022-09-01T07:00:00Z
Kidder County,38043,North Dakota,2480,543,"Burleigh (Bismarck), ND - Morton, ND",157852,1,1.9,0,Low,2022-05-12T07:00:00Z
Mercer County,17131,Illinois,15437,307,"Rock Island (Moline), IL - Henry, IL",211571,1.3,3.3,32.39,Low,2022-04-21T07:00:00Z
Washington County,13303,Georgia,20374,250,"Washington, GA - Jefferson, GA",35736,0,0,161.97,Low,2022-06-02T07:00:00Z
Metcalfe County,21169,Kentucky,10071,53,"Barren, KY - Hart, KY",84005,1.9,7.1,119.15,Low,2022-06-16T07:00:00Z
Mercer County,39107,Ohio,41172,292,"Allen (Lima), OH - Auglaize, OH",282680,0.8,5.7,48.58,Low,2022-06-16T07:00:00Z
